timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
5697235664,5697235373,0.0020000003,1.2402012e-09,0.001999999,1.1263513e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697239402,5697239118,0.0020000006,1.0656473e-09,0.0019999994,1.11944e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697243150,5697242864,0.0020000022,1.4149767e-09,0.001999997,1.1110996e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697249382,5697249106,0.0020000022,2.8703862e-09,0.0019999957,1.08930105e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697256878,5697256596,0.0020000003,5.119695e-10,0.0019999999,1.18994085e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697259390,5697259093,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697263131,5697262839,0.0020000022,2.868774e-09,0.0019999957,1.2505047e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697270606,5697270329,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697274354,5697274075,0.0020000008,0.0,0.002000001,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697280588,5697280317,0.0020000006,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697284350,5697284063,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697293089,5697292802,0.0019999985,1.5871794e-09,0.0020000006,1.353131e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697294357,5697294061,0.0020000006,7.374574e-11,0.0020000003,1.3565751e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697298088,5697297799,0.0019999982,2.2274456e-09,0.0019999999,1.3549441e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697303071,5697302789,0.0020000022,2.868137e-09,0.0019999957,1.31421506e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697309310,5697309031,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697315555,5697315273,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697319299,5697319019,0.0020000003,0.0,0.0020000003,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697324304,5697324013,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697330542,5697330259,0.0020000024,2.926717e-09,0.0019999957,1.2769778e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697333035,5697332752,0.0020000022,3.0430811e-09,0.0019999954,1.28211435e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697340516,5697340242,0.002000002,1.2968981e-09,0.001999997,1.27742e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697344284,5697343988,0.0020000024,1.7044298e-09,0.001999997,1.2696155e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697350515,5697350230,0.0020000003,8.891624e-10,0.0019999994,1.30563615e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697354288,5697353980,0.0020000022,2.4020557e-09,0.0019999961,1.3562155e-11,nan,nan,nan,nan,nan,nan,nan,nan,0
5697362992,5697362715,0.0020000003,0.0,0.0020000006,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
5697365490,5697365211,0.0020000006,0.0,0.002,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0
